,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
5,15 MIN Yoga Workout Class For The Entire Lower Body | Better Than The Gym âž¤ Day 12,_m4xwc2KkkU,2021-02-03T16:08:57Z,171486,5216,44,195,_m4xwc2KkkU,0 days 00:17:06,1026.0
8,Pilates Workout | Best 15 Minute Body Burn For Results,7IyYtxdDqJw,2021-02-03T16:12:13Z,827214,15769,282,267,7IyYtxdDqJw,0 days 00:15:58,958.0
32,15 MIN ABS YOGA WORKOUT | Flat Stomach & A Tighter Waistline âž¤+ 7 DAY CHALLENGE,kb3mYslEa9g,2021-02-03T16:24:25Z,292296,8460,97,257,kb3mYslEa9g,0 days 00:18:39,1119.0
41,Pilates 15 Min Full Body Burn â™¥ Tools For A New You | FOCUS,TZxzFaSLj_Y,2021-02-03T16:27:31Z,1559899,19497,313,398,TZxzFaSLj_Y,0 days 00:17:01,1021.0
66,15 MIN Guided Meditation For Manifestation & Success | Feed Your Truth & Inner Fire,APvLO3uXLnE,2021-01-02T13:22:06Z,205900,6466,88,209,APvLO3uXLnE,0 days 00:14:26,866.0
68,15 MIN Guided Meditation For Peace & Forgiveness | Let Go All That No Longer Serves You,V6ihmni3jzc,2021-01-04T12:30:16Z,105543,3653,44,159,V6ihmni3jzc,0 days 00:14:40,880.0
70,Best Morning Meditation | 15 Minutes To A Perfect Day,F1R8VRV7dhY,2021-01-06T12:21:33Z,166268,4562,72,146,F1R8VRV7dhY,0 days 00:15:29,929.0
72,POWERFUL 15 Min Guided Meditation For Stress & Anxiety | Surrender To The Flow,JR02fcXyLQY,2021-01-08T12:45:14Z,108811,3511,28,219,JR02fcXyLQY,0 days 00:14:52,892.0
74,Guided Meditation For Overcoming Fear & Shifting Reality | 15 Minutes Of Peace,DZ3Vc_72TJE,2021-01-10T13:15:59Z,98758,3147,24,171,DZ3Vc_72TJE,0 days 00:15:14,914.0
95,15 Min Yoga To Feel Your Best | Give Yourself The Gift Of Yoga ðŸŽ„,xjsnbooOUdk,2020-12-20T13:45:58Z,261140,10077,47,283,xjsnbooOUdk,0 days 00:18:30,1110.0
110,15 Min Feel Good Yoga Flow | Reconnect To That Which Serves You Greatest,T9JHOtyBHOA,2020-10-12T17:05:05Z,397972,13598,56,342,T9JHOtyBHOA,0 days 00:16:57,1017.0
114,15 Min Yoga Flow To Feel Good In Difficult Times | Yoga Movement Therapy,BttMFBHHSR8,2020-11-23T16:16:21Z,423009,14458,159,395,BttMFBHHSR8,0 days 00:15:00,900.0
119,Morning Yoga Flow â™¥ 15 Minute Intermediate Wake Up | Joshua Tree,1Benc0pfoFE,2020-05-11T21:20:16Z,1406188,25044,337,460,1Benc0pfoFE,0 days 00:17:03,1023.0
152,Total Body Morning Yoga Practice | 15 Min Sunrise Yoga Flow,Y2RcO6TKO4s,2020-08-16T11:43:38Z,575532,15613,129,432,Y2RcO6TKO4s,0 days 00:18:45,1125.0
214,15 Min Yoga Workout For FULL BODY Transformation | Feel Great & Lose Weight,XD-d3ncxYcY,2020-05-12T14:27:35Z,540230,12652,182,371,XD-d3ncxYcY,0 days 00:18:02,1082.0
215,Yoga Workout For Full Body Results | The Only 15 Minute Workout YOU NEED,HYGCLCnj7NM,2020-07-28T01:15:08Z,753174,17619,181,569,HYGCLCnj7NM,0 days 00:17:48,1068.0
220,Power Yoga Workout | 15 Min Yoga Class To Bring You Back To Yourself Gloriously,nOrfps-dtac,2020-11-01T15:55:30Z,238616,6848,92,227,nOrfps-dtac,0 days 00:18:32,1112.0
223,15 MIN Yoga Workout  For Beginners | Gentle Strength Building Or Getting Back In Shape,zaWEtyB9Ggk,2021-02-14T13:42:59Z,191621,7056,51,232,zaWEtyB9Ggk,0 days 00:18:50,1130.0
228,15 MIN Power Yoga For Balance & Strength | Yoga To Energize Your Entire Being,ij6EE13eY-I,2021-02-08T15:43:15Z,135676,5411,49,204,ij6EE13eY-I,0 days 00:16:49,1009.0
248,"15 Min Yoga Workout For Results | Stretch, Tone, Lean Out Your Body, & Feel Great",Dr7WvVflZwA,2021-06-21T12:27:36Z,182342,7732,73,274,Dr7WvVflZwA,0 days 00:17:46,1066.0
253,Simply The Best Yoga Workout | Full Body Yoga In Under 15 Minutes,uMAh_Ws7yNs,2020-06-08T16:38:56Z,439446,12030,131,361,uMAh_Ws7yNs,0 days 00:15:13,913.0
272,15 Minute Guided Meditation  â™¥ Mindfully Heal Yourself From The Inside Out,p29mwfzpNc4,2020-05-01T17:57:40Z,932385,18183,453,628,p29mwfzpNc4,0 days 00:16:37,997.0
352,Guided Meditation For Strength & Grounding â™¥ 15 Minutes,DkKGTgYt5Dk,2018-02-15T23:55:46Z,361000,6868,154,245,DkKGTgYt5Dk,0 days 00:16:35,995.0
369,The Guided Meditation You Need  â™¥ 15 Minute Mindfulness,e2_4xrVt4hs,2017-11-28T06:02:30Z,428736,7420,166,317,e2_4xrVt4hs,0 days 00:14:51,891.0
385,15 Minute Guided Meditation To Find Peace In Uncertain Times,W19PdslW7iw,2020-03-21T20:40:38Z,2425908,44671,1490,1831,W19PdslW7iw,0 days 00:16:06,966.0
386,15 Minute Guided Meditation | Strength & Grounding In Stressful Times,z0GtmPnqAd8,2020-05-09T16:11:12Z,417696,9118,195,383,z0GtmPnqAd8,0 days 00:15:29,929.0
387,15 Minute Guided Meditation | Clear & Calm The Mind In Uncertain Times,a2pZOIzbp7Q,2020-04-01T17:34:57Z,702238,15137,342,874,a2pZOIzbp7Q,0 days 00:16:06,966.0
